event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX gives ___ to one,"[""is appreciative"", ""feels indebted"", ""none""]","[""thankful""]","[""to thank PersonX"", ""to tell PersonX what else they need"", ""none"", ""none""]","[""generous"", ""giving"", ""submissive"", ""scared"", ""compliant"", ""obsequious""]","[""is thanked"", ""is refused"", ""is thanked"", ""stays in background""]","[""to be helpful""]","[""to find it"", ""to get it"", ""to bring it"", ""none"", ""to have extras to give"", ""to be pregnant""]","[""happy""]","[""to ask if they need anything else"", ""to find them what else they need"", ""to be in control"", ""to be a fairy"", ""to look after them"", ""to have some more""]","[""gives"", ""one""]",trn
PersonX gives ___ to others,"[""gains goods"", ""gives thanks"", ""none""]","[""grateful""]","[""to smile"", ""to celebrate"", ""to say they appreciate it"", ""to be rewarded for the effort"", ""to try to please person X"", ""to enjoy their reward""]","[""benevolent"", ""philanthropic"", ""giving"", ""caring"", ""generous"", ""social""]","[""gains friends"", ""accepts thanks"", ""money"", ""compassion"", ""stenght"", ""faith""]","[""to serve others""]","[""to speak"", ""to be in the room with others"", ""to know thee capability"", ""to think it's worth of notice"", ""to praise others"", ""to find something to give them""]","[""inclusive""]","[""to make a speech"", ""to make a toast"", ""to be thanked"", ""to reward them"", ""to keep being positive"", ""to stay consistent with praise""]","[""gives"", ""others""]",trn
PersonX gives ___ to people,"[""gives thanks"", ""becomes grateful towards personX"", ""have new hair"", ""have a new wig"", ""none""]","[""enlightened"", ""appreciative"", ""hopeful"", ""relieved""]","[""none"", ""absorb what personx says"", ""to ask questions"", ""to ask PersonX questions"", ""to listen to PersonX""]","[""dictatorial"", ""hateful"", ""generous"", ""giving"", ""important"", ""trustful""]","[""becomes thirsty"", ""gets headache"", ""have less hair on their head"", ""have a tingly sensation on the head"", ""none""]","[""to share"", ""help others""]","[""none"", ""have something to give"", ""to be generous"", ""to get what they need"", ""to get their attention""]","[""like what they have to give is important"", ""accomplished"", ""proud""]","[""to give more"", ""to support the community"", ""to help"", ""to be nice"", ""to answer their questions"", ""to help the people out""]","[""gives"", ""people""]",trn
PersonX gives ___ to problems,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""thoughtful"", ""studious"", ""irresposible"", ""careless""]","[""gets confused"", ""gains insight into solutions"", ""gets a headache"", ""sees the light""]","[""better understand"", ""study his problem""]","[""none"", ""to probe into the matter"", ""to find an answer to it"", ""none""]","[""concerned"", ""smarter""]","[""to settle the problems for ever"", ""to find the root cause of the problems"", ""to help people"", ""to find a solution to everything"", ""To solve problems"", ""To get solutions for problems""]","[""gives"", ""problems""]",trn
PersonX gives ___ to the world,"[""none"", ""none"", ""none""]","[""happy"", ""thankful"", ""none""]","[""none"", ""none"", ""to thank PersonX"", ""to use the gift""]","[""generous"", ""kind"", ""generous"", ""helpful"", ""Example"", ""Prays""]","[""PersonX saves mankind"", ""PersonX benefits mankind"", ""earns following"", ""is remembered after death"", ""becomes happy"", ""becomes grateful""]","[""to help the world."", ""to illuminate the world"", ""to save the world."", ""to be nice"", ""to be friendly"", ""to help"", ""to give light to the world""]","[""none"", ""none"", ""none""]","[""fulfilled"", ""satisfied"", ""happy"", ""appreciated"", ""informative""]","[""to help the world"", ""to feel better about themselves"", ""to help others"", ""to embrace faith"", ""gratitude"", ""to give more""]","[""gives"", ""world""]",trn
PersonX gives ___ trouble,"[""receives something"", ""has a new thing"", ""cries"", ""yells at PersonX""]","[""uncomfortable"", ""sad"", ""mad"", ""annoyed"", ""attacked"", ""sad"", ""mad""]","[""to ignore PersonX"", ""to do anything to get PersonX away"", ""leave"", ""retaliate"", ""none""]","[""mean"", ""evil"", ""threatening"", ""malicious"", ""a nuisance"", ""a pest"", ""Out law"", ""Rebel""]","[""does something"", ""makes a sacrifice"", ""gets yelled at"", ""gets punished""]","[""to create malcontent"", ""to intimidate someone"", ""to annoy someone"", ""to start a fight"", ""to get something they want"", ""to bully someone""]","[""to walk up to them"", ""to argue with them"", ""find troube"", ""find someone to bother"", ""to be disobedient"", ""to be rude and disrespectful"", ""to have made a mistake""]","[""avenged"", ""angry"", ""mischievous"", ""angry""]","[""to annoy them"", ""to make them do what they want"", ""leave"", ""instigate more"", ""to make up for it"", ""to apologize"", ""to ask them to forgive them""]","[""gives"", ""trouble""]",trn
PersonX gives ___ up for adoption,"[""are with another set of parents"", ""are more cared for."", ""HAVE TO ADAPT TO A NEW FAMILY"", ""HAVE TO LEARN ABOUT NEW PEOPLE"", ""HAVE TO LEAVE X"", ""MAY NOT WANT TO BE ADOPTED"", ""have a child they would never have had otherwise"", ""wonder why they were given up for adoption""]","[""happy"", ""none"", ""sad""]","[""to live with a new family"", ""start a new life"", ""to go back to them"", ""to cry"", ""to be taken back"", ""to go home"", ""see their parents""]","[""upset"", ""sad"", ""poor"", ""uncaring"", ""incapable"", ""poor""]","[""loses a child"", ""is less busy"", ""MAY HAVE TO CONTACT ANOTHER PERSON"", ""MAY HAVE TO SEARCH FOR SOMEONE TO ADOPT Y"", ""MAY HAVE TO EXPLAIN THE SITUATION"", ""MAY NOT WANT TO GIVE UP Y FOR ADOPTION"", ""no longer has person Y in her life"", ""spends the rest of her life worrying what is happening to person Y""]","[""to start new chapter"", ""also happy satisfied"", ""to get rid of someone""]","[""to make a decision"", ""have a baby"", ""prepare themself"", ""fill out paperwork""]","[""guilty"", ""two"", ""annoyed""]","[""to sign paperwork"", ""to never see PersonY"", ""to pray for them"", ""to forget about it"", ""to improve their own life"", ""to drive the cat to the ASPCA"", ""to drive the baby to the adoption center""]","[""gives"", ""adoption""]",trn
PersonX gives ___ water,"[""avoids from becomes dehydrated"", ""becomes grateful to PersonX""]","[""thankful"", ""grateful"", ""thankful""]","[""thank them"", ""buy a reusable bottle so this doesn't happen again"", ""to get a drink"", ""to cool down"", ""none""]","[""considerate"", ""sympathetic"", ""considerate"", ""kind"", ""caring"", ""considerate"", ""concerned""]","[""gets thanked"", ""saves PersonY from being dehydrated""]","[""to be helpful"", ""persony not to feel thirsty."", ""to be warming"", ""to be nice""]","[""fill up a bowl"", ""realize that something needs hydrating"", ""none"", ""to get a cup"", ""to fill it up""]","[""helpful"", ""caring"", ""happy"", ""warm"", ""generous"", ""kind""]","[""hydrate themselves as well"", ""clean the bowl and put it back"", ""to be nurturing"", ""to quench the other's thirst"", ""to make it grow"", ""to quench it's thirst""]","[""gives"", ""water""]",trn
PersonX gives a good account of oneself,"[""none"", ""none"", ""none""]","[""none"", ""a sense of approval""]","[""none"", ""none"", ""none""]","[""smug"", ""cautious"", ""Realistic"", ""grounded"", ""self-centered"", ""confident""]","[""PersonX thinks deeply about themself"", ""PersonX's fingers hurt from taking a lot of notes"", ""none"", ""none""]","[""to be respected"", ""to make a good impression""]","[""remember the even they want to recall"", ""have something memorable occur"", ""Communication skills"", ""Good vocabulary"", ""none""]","[""worthy"", ""satisfied""]","[""talk about the event to others"", ""share the event online via social media"", ""To give an introduction"", ""To appear for an interview"", ""to be accepted"", ""to stay out of trouble""]","[""gives"", ""good""]",trn
PersonX gives a great performance,"[""they buy PersonX's CD's"", ""the performance was so good that half of the audience is in a religious-like trance, shaking, sweating, screaming, throwing hands in the air"", ""a couple of guys climbed at the stage and started dancing"", ""the audience becomes one, something akin to an alien organism"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""to applaud"", ""to yell for an encore"", ""to ask for PersonX's autograph"", ""to ask to take a selfie with PersonX"", ""See person x again"", ""Clap for person x""]","[""talented"", ""showy"", ""skilled"", ""talented"", ""skilled"", ""experienced""]","[""gets tired"", ""gets a lot of money for their performance"", ""makes a lot of new friends backstage after the performance"", ""gets exhausted"", ""gets a lot of applause"", ""is appreciated"", ""They feel amazing and so proud of themselves."", ""They tell family and friends about how well they did."", ""They upload their performance online for likes.""]","[""to be impressive"", ""to be a star"", ""to be famous"", ""to be proud"", ""to make others happy"", ""to do great"", ""to be the best"", ""to make money""]","[""to rehearse"", ""to go to the venue"", ""to go on stage"", ""Prepare for there show"", ""Have a talent to do in front of others""]","[""happy"", ""like a star"", ""satisfied"", ""happy"", ""proud"", ""proud"", ""complete"", ""dynamic""]","[""to celebrate"", ""to greet fans and friends who watched"", ""Thank those who helped them"", ""Practice for their next show""]","[""gives"", ""great""]",trn
PersonX gives a great speech,"[""none"", ""none""]","[""interested"", ""none"", ""inspired"", ""informed"", ""proud""]","[""to listen to the speech"", ""to ask questions""]","[""confident"", ""captivating"", ""charismatic"", ""interesting"", ""smart"", ""infulential""]","[""gets praised"", ""gets standing ovation"", ""gets praised"", ""has a sore throat""]","[""to be heard"", ""to persuade everyone"", ""to inspire people"", ""to address important issues"", ""to be recognized""]","[""to make a draft of the speech"", ""to practice the speech""]","[""understood"", ""satisfied"", ""happy"", ""competent"", ""satisfied"", ""fulfilled"", ""happy""]","[""to direct a speech at others"", ""to thank the audience""]","[""gives"", ""great""]",trn
PersonX gives a hint on PersonY's project,"[""none"", ""makes guesses"", ""asks more questions"", ""their project get's known"", ""they get lots of support""]","[""that x is an affectionate perosn"", ""none""]","[""to say thank you"", ""to shoe away PersonY"", ""none""]","[""helpful"", ""knowledgeable"", ""helpful"", ""supportive"", ""considerate"", ""Gossiper"", ""Talkative""]","[""none"", ""gets asked more questions"", ""gives more hints"", ""is asked more about it"", ""wants to tell them more""]","[""to help"", ""to help person""]","[""to approach PersonY"", ""to learn about the requirements"", ""Look at person Y's project"", ""Have a good understanding of said project""]","[""good about it"", ""overwhelmed""]","[""to continue helping PersonY"", ""to stop helping PersonY"", ""Accept the hint"", ""Proceed with project""]","[""gives"", ""hint""]",trn
PersonX gives a pop quiz,"[""students sweat from nerves"", ""students stress about grades"", ""none""]","[""nervous"", ""surprised"", ""nervous""]","[""to pass"", ""to get good grade"", ""to take the test"", ""to do well""]","[""sly"", ""tricky"", ""sneaky"", ""bright"", ""smart"", ""tutoring""]","[""hears groans from students"", ""loses popularity"", ""collects quiz"", ""grades quiz"", ""gives quiz results""]","[""to test the students"", ""to do their job well"", ""to test their students""]","[""to create the test"", ""to find questions to put on test"", ""to plan the quiz"", ""to think the students are ready for it""]","[""worried"", ""accomplished"", ""annoyed"", ""pleased""]","[""to grade the quiz"", ""to hand back results"", ""collect their work"", ""to grade them""]","[""gives"", ""pop""]",trn
